Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/add,876,0,160.0,166.70112989979242,152.05083299952094,829.8823329969309,153.0,7.352837722321957,0.0,160,160,170,170,180,200,220,240,830,830,830
DELETE,/delete/68323a9bc3197b36243f5ce2,1,0,167.87866700906307,167.87866700906307,167.87866700906307,167.87866700906307,152.0,0.008393650367947439,0.0,170,170,170,170,170,170,170,170,170,170,170
DELETE,/delete/68323a9ec3197b36243f5dd1,1,0,168.2467920036288,168.2467920036288,168.2467920036288,168.2467920036288,152.0,0.008393650367947439,0.0,170,170,170,170,170,170,170,170,170,170,170
DELETE,/delete/68323aa1c3197b36243f5eb3,1,0,166.60091700032353,166.60091700032353,166.60091700032353,166.60091700032353,152.0,0.008393650367947439,0.0,170,170,170,170,170,170,170,170,170,170,170
DELETE,/delete/68323aa2c3197b36243f5f11,1,0,159.74787500454113,159.74787500454113,159.74787500454113,159.74787500454113,152.0,0.008393650367947439,0.0,160,160,160,160,160,160,160,160,160,160,160
DELETE,/delete/68323aa2c3197b36243f5f1b,1,0,161.49616699840408,161.49616699840408,161.49616699840408,161.49616699840408,153.0,0.008393650367947439,0.0,160,160,160,160,160,160,160,160,160,160,160
DELETE,/delete/68323aa3c3197b36243f5f23,1,0,163.0093330022646,163.0093330022646,163.0093330022646,163.0093330022646,152.0,0.008393650367947439,0.0,160,160,160,160,160,160,160,160,160,160,160
DELETE,/delete/68323aa4c3197b36243f5f6a,1,0,163.88995799934492,163.88995799934492,163.88995799934492,163.88995799934492,152.0,0.008393650367947439,0.0,160,160,160,160,160,160,160,160,160,160,160
DELETE,/delete/68323aa4c3197b36243f5f83,1,0,165.88604199932888,165.88604199932888,165.88604199932888,165.88604199932888,153.0,0.008393650367947439,0.0,170,170,170,170,170,170,170,170,170,170,170
DELETE,/delete/68323aa4c3197b36243f5f8b,1,0,161.96550001041032,161.96550001041032,161.96550001041032,161.96550001041032,152.0,0.008393650367947439,0.0,160,160,160,160,160,160,160,160,160,160,160
